member_id,employer_id,first_name,last_name,date_of_birth,gender,state,zip_code,email,phone,high_risk_flag,created_at
MEM00001,EMP003,FirstName1,LastName1,1975-03-15,F,TX,75201,member1@example.com,555-123-4567,FALSE,2022-01-01
MEM00002,EMP007,FirstName2,LastName2,1968-07-22,M,MA,02101,member2@example.com,555-234-5678,FALSE,2022-01-05
MEM00003,EMP001,FirstName3,LastName3,1982-11-08,F,CA,94102,member3@example.com,555-345-6789,TRUE,2022-01-10
MEM00004,EMP005,FirstName4,LastName4,1956-02-14,M,IL,60601,member4@example.com,555-456-7890,FALSE,2022-01-15
MEM00005,EMP002,FirstName5,LastName5,1990-06-30,F,NY,10001,member5@example.com,555-567-8901,FALSE,2022-01-20
MEM00006,EMP004,FirstName6,LastName6,1973-09-18,M,FL,33101,member6@example.com,555-678-9012,TRUE,2022-01-25
MEM00007,EMP006,FirstName7,LastName7,1985-01-25,F,WA,98101,member7@example.com,555-789-0123,FALSE,2022-02-01
MEM00008,EMP008,FirstName8,LastName8,1961-05-12,M,CA,90001,member8@example.com,555-890-1234,FALSE,2022-02-05
MEM00009,EMP009,FirstName9,LastName9,1978-12-03,F,NY,10002,,555-901-2345,FALSE,2022-02-10
MEM00010,EMP010,FirstName10,LastName10,1952-08-27,M,TX,75202,member10@example.com,555-012-3456,TRUE,2022-02-15
MEM00011,EMP001,FirstName11,LastName11,1987-04-16,F,CA,94103,member11@example.com,555-123-4568,FALSE,2022-02-20
MEM00012,EMP003,FirstName12,LastName12,1965-10-09,M,TX,75203,member12@example.com,555-234-5679,FALSE,2022-02-25
MEM00013,EMP007,FirstName13,LastName13,1993-02-21,F,MA,02102,member13@example.com,555-345-6780,FALSE,2022-03-01
MEM00014,EMP002,FirstName14,LastName14,1970-07-05,M,NY,10003,member14@example.com,555-456-7891,TRUE,2022-03-05
MEM00015,EMP005,FirstName15,LastName15,1981-11-19,F,IL,60602,member15@example.com,555-567-8902,FALSE,2022-03-10
MEM00016,EMP004,FirstName16,LastName16,1958-03-28,M,FL,33102,member16@example.com,555-678-9013,FALSE,2022-03-15
MEM00017,EMP006,FirstName17,LastName17,1989-08-14,F,WA,98102,member17@example.com,555-789-0124,FALSE,2022-03-20
MEM00018,EMP008,FirstName18,LastName18,1963-01-07,M,CA,90002,member18@example.com,555-890-1235,TRUE,2022-03-25
MEM00019,EMP009,FirstName19,LastName19,1976-06-23,F,NY,10004,member19@example.com,555-901-2346,FALSE,2022-04-01
MEM00020,EMP010,FirstName20,LastName20,1954-12-11,M,TX,75204,member20@example.com,555-012-3457,FALSE,2022-04-05
MEM00021,EMP001,FirstName21,LastName21,1984-04-02,F,CA,94104,member21@example.com,555-123-4569,FALSE,2022-04-10
MEM00022,EMP003,FirstName22,LastName22,1967-09-18,M,TX,75205,member22@example.com,555-234-5680,TRUE,2022-04-15
MEM00023,EMP007,FirstName23,LastName23,1991-01-30,F,MA,02103,member23@example.com,555-345-6781,FALSE,2022-04-20
MEM00024,EMP002,FirstName24,LastName24,1972-06-16,M,NY,10005,member24@example.com,555-456-7892,FALSE,2022-04-25
MEM00025,EMP005,FirstName25,LastName25,1983-10-28,F,IL,60603,member25@example.com,555-567-8903,FALSE,2022-05-01
MEM00026,EMP004,FirstName26,LastName26,1960-02-12,M,FL,33103,member26@example.com,555-678-9014,TRUE,2022-05-05
MEM00027,EMP006,FirstName27,LastName27,1988-07-24,F,WA,98103,member27@example.com,555-789-0125,FALSE,2022-05-10
MEM00028,EMP008,FirstName28,LastName28,1965-12-06,M,CA,90003,member28@example.com,555-890-1236,FALSE,2022-05-15
MEM00029,EMP009,FirstName29,LastName29,1977-05-19,F,NY,10006,,555-901-2347,FALSE,2022-05-20
MEM00030,EMP010,FirstName30,LastName30,1956-10-31,M,TX,75206,member30@example.com,555-012-3458,FALSE,2022-05-25
MEM00031,EMP001,FirstName31,LastName31,1986-03-14,F,CA,94105,member31@example.com,555-123-4570,TRUE,2022-06-01
MEM00032,EMP003,FirstName32,LastName32,1969-08-26,M,TX,75207,member32@example.com,555-234-5681,FALSE,2022-06-05
MEM00033,EMP007,FirstName33,LastName33,1992-12-08,F,MA,02104,member33@example.com,555-345-6782,FALSE,2022-06-10
MEM00034,EMP002,FirstName34,LastName34,1974-04-21,M,NY,10007,member34@example.com,555-456-7893,FALSE,2022-06-15
MEM00035,EMP005,FirstName35,LastName35,1985-09-03,F,IL,60604,member35@example.com,555-567-8904,FALSE,2022-06-20
MEM00036,EMP004,FirstName36,LastName36,1962-01-16,M,FL,33104,member36@example.com,555-678-9015,TRUE,2022-06-25
MEM00037,EMP006,FirstName37,LastName37,1990-06-29,F,WA,98104,member37@example.com,555-789-0126,FALSE,2022-07-01
MEM00038,EMP008,FirstName38,LastName38,1967-11-10,M,CA,90004,member38@example.com,555-890-1237,FALSE,2022-07-05
MEM00039,EMP009,FirstName39,LastName39,1979-04-22,F,NY,10008,member39@example.com,555-901-2348,FALSE,2022-07-10
MEM00040,EMP010,FirstName40,LastName40,1958-09-04,M,TX,75208,member40@example.com,555-012-3459,FALSE,2022-07-15
MEM00041,EMP001,FirstName41,LastName41,1987-02-16,F,CA,94106,member41@example.com,555-123-4571,FALSE,2022-07-20
MEM00042,EMP003,FirstName42,LastName42,1971-07-28,M,TX,75209,member42@example.com,555-234-5682,TRUE,2022-07-25
MEM00043,EMP007,FirstName43,LastName43,1994-11-09,F,MA,02105,member43@example.com,555-345-6783,FALSE,2022-08-01
MEM00044,EMP002,FirstName44,LastName44,1976-03-23,M,NY,10009,member44@example.com,555-456-7894,FALSE,2022-08-05
MEM00045,EMP005,FirstName45,LastName45,1988-08-05,F,IL,60605,member45@example.com,555-567-8905,FALSE,2022-08-10
MEM00046,EMP004,FirstName46,LastName46,1964-12-18,M,FL,33105,member46@example.com,555-678-9016,FALSE,2022-08-15
MEM00047,EMP006,FirstName47,LastName47,1992-05-31,F,WA,98105,member47@example.com,555-789-0127,TRUE,2022-08-20
MEM00048,EMP008,FirstName48,LastName48,1969-10-12,M,CA,90005,member48@example.com,555-890-1238,FALSE,2022-08-25
MEM00049,EMP009,FirstName49,LastName49,1981-03-25,F,NY,10010,,555-901-2349,FALSE,2022-09-01
MEM00050,EMP010,FirstName50,LastName50,1960-08-07,M,TX,75210,member50@example.com,555-012-3460,FALSE,2022-09-05
MEM00051,EMP001,FirstName51,LastName51,1989-01-19,F,CA,94107,member51@example.com,555-123-4572,FALSE,2022-09-10
MEM00052,EMP003,FirstName52,LastName52,1973-06-02,M,TX,75211,member52@example.com,555-234-5683,FALSE,2022-09-15
MEM00053,EMP007,FirstName53,LastName53,1996-10-14,F,MA,02106,member53@example.com,555-345-6784,TRUE,2022-09-20
MEM00054,EMP002,FirstName54,LastName54,1978-02-26,M,NY,10011,member54@example.com,555-456-7895,FALSE,2022-09-25
MEM00055,EMP005,FirstName55,LastName55,1990-07-10,F,IL,60606,member55@example.com,555-567-8906,FALSE,2022-10-01
MEM00056,EMP004,FirstName56,LastName56,1966-11-22,M,FL,33106,member56@example.com,555-678-9017,FALSE,2022-10-05
MEM00057,EMP006,FirstName57,LastName57,1994-04-05,F,WA,98106,member57@example.com,555-789-0128,FALSE,2022-10-10
MEM00058,EMP008,FirstName58,LastName58,1971-09-17,M,CA,90006,member58@example.com,555-890-1239,FALSE,2022-10-15
MEM00059,EMP009,FirstName59,LastName59,1983-02-28,F,NY,10012,member59@example.com,555-901-2350,TRUE,2022-10-20
MEM00060,EMP010,FirstName60,LastName60,1962-07-11,M,TX,75212,member60@example.com,555-012-3461,FALSE,2022-10-25
MEM00061,EMP001,FirstName61,LastName61,1991-12-23,F,CA,94108,member61@example.com,555-123-4573,FALSE,2022-11-01
MEM00062,EMP003,FirstName62,LastName62,1975-05-06,M,TX,75213,member62@example.com,555-234-5684,FALSE,2022-11-05
MEM00063,EMP007,FirstName63,LastName63,1998-09-18,F,MA,02107,member63@example.com,555-345-6785,FALSE,2022-11-10
MEM00064,EMP002,FirstName64,LastName64,1980-01-30,M,NY,10013,member64@example.com,555-456-7896,FALSE,2022-11-15
MEM00065,EMP005,FirstName65,LastName65,1992-06-13,F,IL,60607,member65@example.com,555-567-8907,TRUE,2022-11-20
MEM00066,EMP004,FirstName66,LastName66,1968-10-25,M,FL,33107,member66@example.com,555-678-9018,FALSE,2022-11-25
MEM00067,EMP006,FirstName67,LastName67,1996-03-08,F,WA,98107,member67@example.com,555-789-0129,FALSE,2022-12-01
MEM00068,EMP008,FirstName68,LastName68,1973-08-20,M,CA,90007,,555-890-1240,FALSE,2022-12-05
MEM00069,EMP009,FirstName69,LastName69,1985-01-02,F,NY,10014,member69@example.com,555-901-2351,FALSE,2022-12-10
MEM00070,EMP010,FirstName70,LastName70,1964-06-15,M,TX,75214,member70@example.com,555-012-3462,FALSE,2022-12-15
